path,label,start,end,subject,cam,dataset
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,8,0.0,2.346,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,1,2.346,3.833,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly201724,2,3.833,7.811,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,0.0,0.692,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,0.692,1.85,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,1.85,3.012,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,1,3.012,4.616,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,2,4.616,5.581,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,5.581,6.248,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,6.248,7.163,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,7.163,8.242,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,15,8.242,9.344,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,1,9.344,11.098,-1,-1,OOPS
falls/25BestTrampolineFailNominees-FailArmyHallofFameJuly20176,2,11.098,12.097,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust201713,0,0.0,2.965,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust201713,1,2.965,4.813,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust201713,9,4.813,9.423,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust201713,7,9.423,11.07774,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust201722,9,0.0,6.316,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust201728,9,0.0,8.83,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust20175,0,0.0,2.436,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust20175,1,2.436,4.168,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust20175,2,4.168,5.181,-1,-1,OOPS
falls/29BestWorkFailNominees-FailArmyHallofFameAugust20175,7,5.181,8.50851,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame0,0,0.0,1.587,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame0,1,1.587,2.402,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame0,4,2.402,6.677,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame0,9,6.677,11.599,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame26,0,0.0,2.125,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame26,15,2.125,2.326,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame26,1,2.326,4.41,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame26,7,4.41,4.876,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame3,0,0.0,2.195,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame3,9,2.195,3.116,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame3,1,3.116,4.66,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame3,9,4.66,9.113,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame3,9,9.113,11.188,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame3,1,11.188,13.271,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame41,4,0.0,3.196,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame41,5,3.196,4.131,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame41,7,4.131,5.211,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame41,9,5.211,6.061,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame41,1,6.061,7.241,-1,-1,OOPS
falls/29HilariousInstantKarmaFailNominees-FailArmyHallofFame41,2,7.241,11.91191,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201740,9,0.0,4.2,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201740,0,4.2,5.484,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201740,1,5.484,7.07,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201740,3,7.07,11.29,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201740,9,11.29,20.66392,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201743,9,0.0,1.318,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201743,15,1.318,2.142,-1,-1,OOPS
falls/31BackToSchoolFailNominees-FailArmyHallofFameSeptember201743,1,2.142,4.22601,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201719,9,0.0,3.997,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201719,1,3.997,5.077,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201719,9,5.077,7.273,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201719,2,7.273,10.37704,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201728,0,0.0,11.766,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201728,1,11.766,13.183,-1,-1,OOPS
falls/31SeniorCitizenFails-FailArmyHallofFameSeptember201728,2,13.183,15.909,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay201713,0,0.0,4.337,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay201713,1,4.337,5.234,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay201713,9,5.234,7.19801,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay201729,9,0.0,0.92,-1,-1,OOPS
falls/34FunnyKidNominees-FailArmyHallOfFameMay201729,9,0.92,3.437,-1,-1,OOPS
