time_index,support,positive_support,mean_relative_position,mean_delta_prob,mean_abs_delta_prob,mean_delta_logit,mean_abs_delta_logit
0,2255,695,0.0,0.007317872140597874,0.01627507711659514,0.016394286217816387,0.029885763777399276
1,2255,695,0.06666666666666665,0.007534172916227328,0.016222579962266257,0.017022131010064,0.030009373806070067
2,2255,695,0.1333333333333333,0.0075464010932493105,0.0163459227215953,0.016833353465517977,0.029934130904745896
3,2255,695,0.19999999999999996,0.0073863567342515,0.016397579959252985,0.016636697924850785,0.029874792676873322
4,2255,695,0.2666666666666666,0.007629533521748435,0.016230117220704148,0.0168434487180805,0.029420582271137682
5,2255,695,0.3333333333333333,0.00768647792267958,0.016403687320765265,0.01702776262805097,0.029844424893414632
6,2255,695,0.3999999999999999,0.007609639235848598,0.016397325271645564,0.01687326800995021,0.029660685183666234
7,2255,695,0.46666666666666673,0.007125278947226489,0.01648229010023193,0.0166501365056852,0.02948432554327728
8,2255,695,0.5333333333333332,0.007774505656865114,0.015735368932826555,0.01695205656823985,0.028927209271229555
9,2255,695,0.6,0.0076742472478132815,0.01588329432610662,0.01699117874838164,0.028872900893147663
10,2255,695,0.6666666666666666,0.007863685181426367,0.015045195365295706,0.017132615452496017,0.027596798247581312
11,2255,695,0.7333333333333333,0.0067186085916147,0.01430194399044942,0.015754600371463336,0.02546131886261001
12,2255,695,0.7999999999999998,0.005911532530102656,0.012991133243043776,0.014067619392222945,0.02362199837626877
13,2255,695,0.8666666666666669,0.005579051646319303,0.012513268938878688,0.014101721691649135,0.021451570790781416
14,2255,695,0.9333333333333335,0.005175445352716086,0.010812594326927497,0.013936615038142764,0.0188014706823884
15,2255,695,1.0,0.007565060670915042,0.012077374088922784,0.017483798537543765,0.02109132465016419
