time_index,support,positive_support,mean_relative_position,mean_delta_prob,mean_abs_delta_prob,mean_delta_logit,mean_abs_delta_logit
0,2255,695,0.0,0.0004963822381988069,0.0008894145455698745,0.0009283590673607364,0.0013841355388814753
1,2255,695,0.06666666666666665,0.0007766557043777601,0.0014048550649651402,0.0018179127554142818,0.0023904782044649655
2,2255,695,0.1333333333333333,0.0009295108379122951,0.0020776198140269107,0.002145831696606528,0.0034615106005097705
3,2255,695,0.19999999999999996,0.0011911270062040596,0.0033398524653620834,0.002649703129564315,0.0052956246649082375
4,2255,695,0.2666666666666666,0.0020768828772652704,0.0040383466595821,0.003694989288560303,0.00637618391433867
5,2255,695,0.3333333333333333,0.0029226590947407046,0.004947452257054872,0.004940172153506469,0.007769860101743971
6,2255,695,0.3999999999999999,0.004171037455884422,0.006626232592863941,0.006715438526511986,0.01027999671295847
7,2255,695,0.46666666666666673,0.00520048207229627,0.008889764484571511,0.008926358158202499,0.013644576627769385
8,2255,695,0.5333333333333332,0.005668806669585192,0.009546920614205548,0.008566100161084843,0.015568273027991244
9,2255,695,0.6,0.0009489474004493849,0.010128345659328934,-0.00015804222444208658,0.01771152779426913
10,2255,695,0.6666666666666666,0.0024587184355951467,0.009483342982845137,0.0034331299273706066,0.015662377164957265
11,2255,695,0.7333333333333333,0.0060636790423858455,0.012273296162056553,0.008701202811099209,0.017297513299764127
12,2255,695,0.7999999999999998,0.0043224959607399225,0.013808972922106276,0.005142065042633968,0.020431555592002732
13,2255,695,0.8666666666666669,-0.0029041230711598616,0.016764989928104924,-6.615594690231949e-05,0.023768607921848806
14,2255,695,0.9333333333333335,0.00141144489700144,0.013349153425238878,0.009400810211269131,0.019864389937197555
15,2255,695,1.0,0.0062886726598517595,0.016885252508382312,0.01642798363022556,0.02720445425491243
