video_path,label_name,subject,cam,dataset,split_group,window_start,window_end,target_frame,obs_len,k_frames,target_fps,sample_interval,y,fall_start_frame,vjepa_feature_path,vjepa_model_name,vjepa_latent_dim,vjepa_observed_tokens,vjepa_future_tokens
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/05.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.970482959557045,1,18,/data/final_project_dataset/vjepa_latents/window_latents/731c0b728aa5a3fe.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/06.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9663520890256674,1,22,/data/final_project_dataset/vjepa_latents/window_latents/8bc55060ba9031af.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/06.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9663520890256674,1,22,/data/final_project_dataset/vjepa_latents/window_latents/d7ac175d674827d6.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/06.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.9663520890256674,1,22,/data/final_project_dataset/vjepa_latents/window_latents/85091045a0b81e0e.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.956798694930231,1,23,/data/final_project_dataset/vjepa_latents/window_latents/cbc4f6dc6617ad84.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.956798694930231,1,23,/data/final_project_dataset/vjepa_latents/window_latents/5f1f2b1945493b9b.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.956798694930231,1,23,/data/final_project_dataset/vjepa_latents/window_latents/dd5c2e219ece016b.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,6,22,22,16,10,10,2.956798694930231,1,23,/data/final_project_dataset/vjepa_latents/window_latents/b1a1f7b70539fb32.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/02.mp4,lying,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9598477223124684,0,26,/data/final_project_dataset/vjepa_latents/window_latents/7b7f95359f6ea7db.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/12.mp4,stand_up,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9742684845783725,0,26,/data/final_project_dataset/vjepa_latents/window_latents/504140248c7def2e.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/01.mp4,lying,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9612499294940493,0,28,/data/final_project_dataset/vjepa_latents/window_latents/c355ade9314fa860.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/01.mp4,lying,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9612499294940493,0,28,/data/final_project_dataset/vjepa_latents/window_latents/c1ac5853bf060f03.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/06.mp4,other,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9773833381047807,0,31,/data/final_project_dataset/vjepa_latents/window_latents/0b9dd9e2970fa1f4.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/06.mp4,other,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9773833381047807,0,31,/data/final_project_dataset/vjepa_latents/window_latents/7e30d1b4cd894f99.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/06.mp4,other,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.9773833381047807,0,31,/data/final_project_dataset/vjepa_latents/window_latents/f111f6a58892af70.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/15.mp4,sit_down,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9570804874533305,0,31,/data/final_project_dataset/vjepa_latents/window_latents/38f22f2cbb27480c.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/15.mp4,sit_down,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9570804874533305,0,31,/data/final_project_dataset/vjepa_latents/window_latents/7f1c6e25b541819d.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/15.mp4,sit_down,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.9570804874533305,0,31,/data/final_project_dataset/vjepa_latents/window_latents/5b8b21d269193347.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/04.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.926342244332364,0,36,/data/final_project_dataset/vjepa_latents/window_latents/6556e56953bf2afe.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/04.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.926342244332364,0,36,/data/final_project_dataset/vjepa_latents/window_latents/d47db8ad1275fa4a.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/04.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.926342244332364,0,36,/data/final_project_dataset/vjepa_latents/window_latents/f44add6fff388446.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/04.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,6,22,22,16,10,10,2.926342244332364,0,36,/data/final_project_dataset/vjepa_latents/window_latents/f6bddd4e82a4c97d.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/04.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,8,24,24,16,10,10,2.926342244332364,0,36,/data/final_project_dataset/vjepa_latents/window_latents/a98d40373cb0c8c8.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/04.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,10,26,26,16,10,10,2.926342244332364,0,36,/data/final_project_dataset/vjepa_latents/window_latents/0bf8e6b0a0504c78.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/a762467dd91c746f.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/eccc5d7fd172494b.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/1d71d0a171133fd0.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,6,22,22,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/902dd9bff738cdcb.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,8,24,24,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/6a8d3c35808f0a5e.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,10,26,26,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/9c051aea4551508f.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/05.mp4,other,1,1,GMDCSA24,GMDCSA24:1,12,28,28,16,10,10,2.977545137308451,0,38,/data/final_project_dataset/vjepa_latents/window_latents/09d0999959b49ecf.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/3e57f3e488dbdd24.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/a8e466acf73f7742.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/5c19a9e60c4970dd.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,6,22,22,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/aaa19ddf3dd15a90.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,8,24,24,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/6c9cbc5bfe311dda.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,10,26,26,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/5c128015cd83532d.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/13.mp4,sitting,1,1,GMDCSA24,GMDCSA24:1,12,28,28,16,10,10,2.9656178634864245,0,38,/data/final_project_dataset/vjepa_latents/window_latents/cab6c5bc7d8ee95c.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/7d7b4cb9611a95e7.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/fc7635d5f0e1d70f.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/fc9b45652a53f543.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,6,22,22,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/e9275b6eae075062.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,8,24,24,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/d97dd2f20e027bed.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,10,26,26,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/d0bdde00e88a0de8.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/11.mp4,other,1,1,GMDCSA24,GMDCSA24:1,12,28,28,16,10,10,2.97416662491142,0,39,/data/final_project_dataset/vjepa_latents/window_latents/bdba30fc55e4313f.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/12.mp4,other,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9742684845783725,0,40,/data/final_project_dataset/vjepa_latents/window_latents/0a95191b1d5cd346.npz,,,,
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/12.mp4,other,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9742684845783725,0,40,/data/final_project_dataset/vjepa_latents/window_latents/b89ef8f0c8388b87.npz,,,,
