video_path,label_name,subject,cam,dataset,split_group,window_start,window_end,target_frame,obs_len,k_frames,target_fps,sample_interval,y,fall_start_frame
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/05.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.970482959557045,1,18
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/06.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9663520890256674,1,22
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/06.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9663520890256674,1,22
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/06.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.9663520890256674,1,22
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.956798694930231,1,23
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.956798694930231,1,23
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.956798694930231,1,23
/data/final_project_dataset/GMDCSA24/Subject 1/Fall/01.mp4,fall,1,1,GMDCSA24,GMDCSA24:1,6,22,22,16,10,10,2.956798694930231,1,23
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/02.mp4,lying,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9598477223124684,0,26
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/12.mp4,stand_up,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9742684845783725,0,26
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/01.mp4,lying,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9612499294940493,0,28
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/01.mp4,lying,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9612499294940493,0,28
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/06.mp4,other,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9773833381047807,0,31
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/06.mp4,other,1,1,GMDCSA24,GMDCSA24:1,2,18,18,16,10,10,2.9773833381047807,0,31
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/06.mp4,other,1,1,GMDCSA24,GMDCSA24:1,4,20,20,16,10,10,2.9773833381047807,0,31
/data/final_project_dataset/GMDCSA24/Subject 1/ADL/15.mp4,sit_down,1,1,GMDCSA24,GMDCSA24:1,0,16,16,16,10,10,2.9570804874533305,0,31
